date,stock_code,action,shares,price,value,commission,portfolio_value_before,position_mode
2013-07-03,600257.SH,BUY,4800,6.1712,29621.61,59.2432,69771.91,fixed
2013-07-03,000665.SZ,BUY,4100,7.1973,29508.76,59.0175,69884.76,fixed
2013-07-03,600455.SH,BUY,2400,12.13,29112.0,58.224,70281.52,fixed
2013-07-31,000665.SZ,SELL,-4100,8.344,29508.76,68.421,133090.86,fixed
2013-07-31,600257.SH,SELL,-4800,6.0256,29621.61,57.8458,133203.7,fixed
2013-07-31,600455.SH,BUY,2400,12.13,29112.0,58.224,74470.09,fixed
2013-07-31,000719.SZ,BUY,5800,5.1697,29984.38,59.9688,73597.71,fixed
2013-08-28,000719.SZ,SELL,-5800,7.4163,29984.38,86.0293,154791.83,fixed
2013-08-28,600455.SH,SELL,-4800,13.8861,58224.0,133.3066,183031.45,fixed
2013-08-28,002388.SZ,BUY,7700,3.8735,29826.06,59.6521,94981.39,fixed
2013-08-28,002555.SZ,BUY,20200,1.483,29956.57,59.9131,94850.88,fixed
2013-08-28,002289.SZ,BUY,2300,12.7166,29248.27,58.4965,95559.18,fixed
2013-08-28,002385.SZ,BUY,6600,4.5234,29854.71,59.7094,94952.74,fixed
2013-09-27,002289.SZ,SELL,-2300,11.2117,29248.27,51.5738,155960.36,fixed
2013-09-27,002385.SZ,SELL,-6600,4.721,29854.71,62.3171,156566.8,fixed
2013-09-27,002388.SZ,SELL,-7700,4.5443,29826.06,69.9822,156538.15,fixed
2013-09-27,002555.SZ,BUY,20200,1.483,29956.57,59.9131,96755.52,fixed
2013-09-27,002174.SZ,BUY,4500,6.5263,29368.53,58.7371,97343.56,fixed
2013-09-27,300017.SZ,BUY,7800,3.803,29663.14,59.3263,97048.95,fixed
2013-11-01,002174.SZ,SELL,-4500,11.5614,29368.53,104.0527,262805.38,fixed
2013-11-01,002555.SZ,SELL,-40400,3.3645,59913.14,271.8546,293349.99,fixed
2013-11-01,300017.SZ,SELL,-7800,4.8798,29663.14,76.1242,263099.99,fixed
2013-11-01,002400.SZ,BUY,3200,9.2394,29566.08,59.1322,203870.77,fixed
2013-11-01,600381.SH,BUY,1700,16.75,28475.02,56.95,204961.82,fixed
2013-11-01,000557.SZ,BUY,4300,6.9342,29817.12,59.6342,203619.72,fixed
2013-11-01,000607.SZ,BUY,7100,4.1794,29673.78,59.3476,203763.07,fixed
2013-11-01,600058.SH,BUY,2200,13.398,29475.6,58.9512,203961.25,fixed
2013-11-01,002356.SZ,BUY,7100,4.1835,29702.95,59.4059,203733.89,fixed
2013-11-01,600234.SH,BUY,5100,5.77,29427.0,58.854,204009.85,fixed
2013-11-29,002356.SZ,SELL,-7100,4.1835,29702.95,59.4059,261798.88,fixed
2013-11-29,002400.SZ,SELL,-3200,9.0413,29566.08,57.8642,261662.01,fixed
2013-11-29,600058.SH,SELL,-2200,13.398,29475.6,58.9512,261571.53,fixed
2013-11-29,600234.SH,SELL,-5100,5.77,29427.0,58.854,261522.93,fixed
2013-11-29,002279.SZ,BUY,8100,3.7022,29987.74,59.9755,202108.19,fixed
2013-11-29,000546.SZ,BUY,5400,5.53,29862.14,59.7243,202233.79,fixed
2013-11-29,300209.SZ,BUY,8200,3.6435,29876.66,59.7533,202219.28,fixed
2013-11-29,300136.SZ,BUY,11100,2.6745,29686.54,59.3731,202409.4,fixed
2013-12-27,000546.SZ,SELL,-5400,5.5709,29862.14,60.1659,264278.57,fixed
2013-12-27,000557.SZ,SELL,-4300,6.9342,29817.12,59.6342,264233.56,fixed
2013-12-27,002279.SZ,SELL,-8100,3.7022,29987.74,59.9755,264404.18,fixed
2013-12-27,300209.SZ,SELL,-8200,3.8591,29876.66,63.2887,264293.09,fixed
2013-12-27,300248.SZ,BUY,11000,2.7057,29762.42,59.5248,204654.01,fixed
2013-12-27,300268.SZ,BUY,5300,5.65,29945.0,59.89,204471.43,fixed
2013-12-27,600734.SH,BUY,21400,1.3963,29880.69,59.7614,204535.74,fixed
2013-12-27,002346.SZ,BUY,5600,5.2887,29616.47,59.2329,204799.97,fixed
2014-01-27,300136.SZ,SELL,-11100,3.3402,29686.54,74.1527,275373.84,fixed
2014-01-27,300248.SZ,SELL,-11000,3.1405,29762.42,69.091,275449.73,fixed
2014-01-27,002346.SZ,BUY,5600,5.2887,29616.47,59.2329,216070.84,fixed
2014-01-27,300044.SZ,BUY,8900,3.3494,29809.41,59.6188,215877.9,fixed
2014-01-27,002579.SZ,BUY,8100,3.673,29751.06,59.5021,215936.24,fixed
2014-03-03,002346.SZ,SELL,-11200,6.4565,59232.93,144.6258,353188.63,fixed
2014-03-03,002579.SZ,SELL,-8100,6.5147,29751.06,105.5384,323706.76,fixed
2014-03-03,300044.SZ,SELL,-8900,5.3891,29809.41,95.9256,323765.1,fixed
2014-03-03,300268.SZ,SELL,-5300,5.65,29945.0,59.89,323900.69,fixed
2014-03-03,300143.SZ,BUY,5800,5.1573,29912.53,59.8251,264043.16,fixed
2014-03-03,600506.SH,BUY,3500,8.54,29890.0,59.78,264065.69,fixed
2014-03-03,600734.SH,BUY,21400,1.4852,31782.75,63.5655,262172.94,fixed
2014-03-03,300278.SZ,BUY,8700,3.4133,29695.93,59.3919,264259.76,fixed
2014-03-03,002180.SZ,BUY,6600,4.5156,29803.28,59.6066,264152.41,fixed
2014-03-03,002517.SZ,BUY,13100,2.2764,29820.64,59.6413,264135.05,fixed
2014-03-31,002180.SZ,SELL,-6600,8.0036,29803.28,105.6478,340152.66,fixed
2014-03-31,300143.SZ,SELL,-5800,5.1573,29912.53,59.8251,340261.91,fixed
2014-03-31,600734.SH,SELL,-42800,1.1772,61663.44,100.7695,372012.83,fixed
2014-03-31,300291.SZ,BUY,3100,9.5494,29603.09,59.2062,280746.29,fixed
2014-03-31,002190.SZ,BUY,2000,14.805,29610.09,59.2202,280739.29,fixed
2014-03-31,002517.SZ,BUY,13100,2.2764,29820.64,59.6413,280528.74,fixed
2014-03-31,600862.SH,BUY,10400,2.8693,29840.66,59.6813,280508.72,fixed
2014-03-31,000668.SZ,BUY,3200,9.3078,29784.98,59.57,280564.4,fixed
2014-04-29,000668.SZ,SELL,-3200,8.9717,29784.98,57.4189,357259.31,fixed
2014-04-29,002190.SZ,SELL,-2000,14.805,29610.09,59.2202,357084.42,fixed
2014-04-29,002517.SZ,SELL,-26200,2.2764,59641.29,119.2826,387115.62,fixed
2014-04-29,300278.SZ,SELL,-8700,4.215,29695.93,73.3404,357170.26,fixed
2014-04-29,300291.SZ,SELL,-3100,13.7495,29603.09,85.2467,357077.42,fixed
2014-04-29,600381.SH,SELL,-1700,16.75,28475.02,56.95,355949.35,fixed
2014-04-29,600506.SH,SELL,-3500,8.41,29890.0,58.87,357364.33,fixed
2014-04-29,000670.SZ,BUY,5900,5.0761,29948.93,59.8979,297525.4,fixed
2014-04-29,300237.SZ,BUY,14600,2.0459,29870.76,59.7415,297603.57,fixed
2014-04-29,600862.SH,BUY,10400,2.8693,29840.66,59.6813,297633.67,fixed
2014-04-29,300085.SZ,BUY,5300,5.6525,29958.48,59.917,297515.86,fixed
2014-04-29,000068.SZ,BUY,4400,6.7067,29509.48,59.019,297964.85,fixed
2014-04-29,000607.SZ,BUY,7100,4.1794,29673.78,59.3476,297800.55,fixed
2014-04-29,002316.SZ,BUY,3400,8.5945,29221.19,58.4424,298253.14,fixed
2014-04-29,000520.SZ,BUY,11800,2.53,29854.0,59.708,297620.33,fixed
2014-04-29,600730.SH,BUY,6500,4.5765,29747.57,59.4951,297726.76,fixed
2014-05-29,000068.SZ,SELL,-4400,6.7333,29509.48,59.2527,425818.3,fixed
2014-05-29,000607.SZ,SELL,-14200,8.1245,59347.55,230.7358,455656.38,fixed
2014-05-29,000670.SZ,SELL,-5900,6.14,29948.93,72.452,426257.75,fixed
2014-05-29,002316.SZ,SELL,-3400,8.1775,29221.19,55.607,425530.01,fixed
2014-05-29,300085.SZ,SELL,-5300,7.0251,29958.48,74.4662,426267.3,fixed
2014-05-29,300237.SZ,SELL,-14600,2.3076,29870.76,67.3827,426179.59,fixed
2014-05-29,600730.SH,SELL,-6500,4.5765,29747.57,59.4951,426056.4,fixed
2014-05-29,600862.SH,SELL,-20800,2.8693,59681.32,119.3626,455990.14,fixed
2014-05-29,600850.SH,BUY,2900,10.0673,29195.08,58.3902,367113.75,fixed
2014-05-29,600157.SH,BUY,17200,1.7402,29931.45,59.8629,366377.37,fixed
2014-05-29,002063.SZ,BUY,6100,4.9101,29951.42,59.9028,366357.4,fixed
2014-05-29,300323.SZ,BUY,3600,8.1554,29359.6,58.7192,366949.22,fixed
2014-05-29,000547.SZ,BUY,5100,5.8426,29797.32,59.5946,366511.5,fixed
2014-05-29,002466.SZ,BUY,3800,7.7326,29383.81,58.7676,366925.01,fixed
2014-05-29,300288.SZ,BUY,1700,17.3916,29565.67,59.1313,366743.16,fixed
2014-05-29,300084.SZ,BUY,3300,8.9976,29692.01,59.384,366616.81,fixed
2014-05-29,300168.SZ,BUY,3000,9.6909,29072.62,58.1452,367236.21,fixed
2014-05-29,300166.SZ,BUY,5100,5.8458,29813.44,59.6269,366495.38,fixed
2014-05-29,002366.SZ,BUY,6100,4.9072,29933.69,59.8674,366375.14,fixed
2014-05-29,000952.SZ,BUY,5000,5.9027,29513.47,59.0269,366795.35,fixed
2014-06-27,000520.SZ,SELL,-11800,2.53,29854.0,59.708,450511.32,fixed
2014-06-27,002063.SZ,SELL,-6100,4.5589,29951.42,55.6187,450608.74,fixed
2014-06-27,002366.SZ,SELL,-6100,7.9024,29933.69,96.4098,450591.01,fixed
2014-06-27,300084.SZ,SELL,-3300,10.753,29692.01,70.9695,450349.33,fixed
2014-06-27,300168.SZ,SELL,-3000,8.9483,29072.62,53.6897,449729.94,fixed
2014-06-27,600157.SH,SELL,-17200,1.7608,29931.45,60.573,450588.77,fixed
2014-06-27,002517.SZ,BUY,13100,2.2764,29820.64,59.6413,390836.68,fixed
2014-06-27,600850.SH,BUY,2900,10.0673,29195.08,58.3902,391462.24,fixed
2014-06-27,000948.SZ,BUY,5100,5.8198,29681.16,59.3623,390976.16,fixed
2014-06-27,300311.SZ,BUY,7400,4.0318,29835.39,59.6708,390821.94,fixed
2014-06-27,300288.SZ,BUY,1700,19.1307,32522.23,65.0445,388135.09,fixed
2014-06-27,600346.SH,BUY,15600,1.9141,29859.46,59.7189,390797.86,fixed
2014-07-25,000547.SZ,SELL,-5100,5.8426,29797.32,59.5946,489184.72,fixed
2014-07-25,000952.SZ,SELL,-5000,6.0583,29513.47,60.5835,488900.86,fixed
2014-07-25,002466.SZ,SELL,-3800,7.7326,29383.81,58.7676,488771.2,fixed
2014-07-25,002517.SZ,SELL,-13100,3.032,29820.64,79.4385,489208.04,fixed
2014-07-25,300166.SZ,SELL,-5100,6.2551,29813.44,63.8017,489200.83,fixed
2014-07-25,300288.SZ,SELL,-3400,22.97,62087.9,156.196,521475.29,fixed
2014-07-25,300311.SZ,SELL,-7400,4.0318,29835.39,59.6708,489222.78,fixed
2014-07-25,300323.SZ,SELL,-3600,8.1554,29359.6,58.7192,488747.0,fixed
2014-07-25,600346.SH,SELL,-15600,2.1047,29859.46,65.6676,489246.86,fixed
2014-07-25,600850.SH,SELL,-5800,11.74,58390.16,136.1839,517777.55,fixed
2014-07-25,000948.SZ,BUY,5100,5.8198,29681.16,59.3623,429706.23,fixed
2014-07-25,002647.SZ,BUY,18400,1.63,29991.53,59.9831,429395.86,fixed
2014-07-25,002625.SZ,BUY,10700,2.7786,29731.33,59.4627,429656.07,fixed
2014-07-25,600576.SH,BUY,5600,5.322,29803.15,59.6063,429584.24,fixed
2014-07-25,002569.SZ,BUY,2600,11.33,29458.0,58.916,429929.39,fixed
2014-07-25,600848.SH,BUY,5000,5.887,29435.01,58.87,429952.39,fixed
2014-07-25,000009.SZ,BUY,5900,5.0718,29923.9,59.8478,429463.49,fixed
2014-07-25,300191.SZ,BUY,1400,20.4794,28671.19,57.3424,430716.2,fixed
2014-07-25,002635.SZ,BUY,3100,9.523,29521.43,59.0429,429865.96,fixed
2014-07-25,002354.SZ,BUY,2200,13.583,29882.63,59.7653,429504.76,fixed
2014-07-25,000889.SZ,BUY,8900,3.6975,32908.04,65.8161,426479.35,fixed
2014-07-25,300100.SZ,BUY,6900,4.2971,29649.68,59.2994,429737.71,fixed
2014-07-25,002151.SZ,BUY,1800,16.1798,29123.71,58.2474,430263.68,fixed
2014-07-25,600615.SH,BUY,3500,8.3925,29373.92,58.7478,430013.48,fixed
2014-08-22,000009.SZ,SELL,-5900,7.4822,29923.9,88.2896,594103.38,fixed
2014-08-22,000889.SZ,SELL,-8900,5.8227,32908.04,103.6445,597087.51,fixed
2014-08-22,000948.SZ,SELL,-10200,8.0053,59362.32,163.3089,623541.79,fixed
2014-08-22,002151.SZ,SELL,-1800,26.6505,29123.71,95.9417,593303.18,fixed
2014-08-22,002354.SZ,SELL,-2200,16.0641,29882.63,70.6822,594062.1,fixed
2014-08-22,002569.SZ,SELL,-2600,12.46,29458.0,64.792,593637.48,fixed
2014-08-22,002625.SZ,SELL,-10700,3.5607,29731.33,76.1989,593910.8,fixed
2014-08-22,002635.SZ,SELL,-3100,10.7893,29521.43,66.8938,593700.91,fixed
2014-08-22,300100.SZ,SELL,-6900,5.8713,29649.68,81.0234,593829.16,fixed
2014-08-22,300191.SZ,SELL,-1400,22.3758,28671.19,62.6521,592850.67,fixed
2014-08-22,600848.SH,SELL,-5000,5.887,29435.01,58.87,593614.48,fixed
2014-08-22,002466.SZ,BUY,3800,7.7326,29383.81,58.7676,534795.66,fixed
2014-08-22,000408.SZ,BUY,6200,4.8201,29884.5,59.769,534294.98,fixed
2014-08-22,600615.SH,BUY,3500,8.3925,29373.92,58.7478,534805.56,fixed
2014-08-22,002647.SZ,BUY,18400,1.63,29991.53,59.9831,534187.94,fixed
2014-08-22,002570.SZ,BUY,2000,14.36,28720.0,57.44,535459.48,fixed
2014-08-22,300287.SZ,BUY,5100,5.8674,29923.64,59.8473,534255.84,fixed
2014-08-22,300224.SZ,BUY,3900,7.6768,29939.49,59.879,534239.99,fixed
2014-08-22,600629.SH,BUY,4800,6.1539,29538.69,59.0774,534640.79,fixed
2014-08-22,600576.SH,BUY,5600,5.322,29803.15,59.6063,534376.32,fixed
2014-08-22,000032.SZ,BUY,4200,6.9975,29389.49,58.779,534789.99,fixed
2014-08-22,002551.SZ,BUY,2100,14.0495,29503.97,59.0079,534675.51,fixed
2014-08-22,000713.SZ,BUY,7100,4.1822,29693.45,59.3869,534486.03,fixed
2014-08-22,300315.SZ,BUY,3600,8.268,29764.89,59.5298,534414.58,fixed
2014-08-22,300161.SZ,BUY,2400,12.2017,29284.03,58.5681,534895.45,fixed
2014-08-22,000973.SZ,BUY,5200,5.7212,29750.12,59.5002,534429.35,fixed
2014-09-22,000032.SZ,SELL,-4200,6.9975,29389.49,58.779,658903.55,fixed
2014-09-22,000408.SZ,SELL,-6200,4.8201,29884.5,59.769,659398.56,fixed
2014-09-22,000713.SZ,SELL,-7100,4.1822,29693.45,59.3869,659207.51,fixed
2014-09-22,002466.SZ,SELL,-3800,10.3988,29383.81,79.0311,658897.87,fixed
2014-09-22,002551.SZ,SELL,-2100,14.4768,29503.97,60.8024,659018.03,fixed
2014-09-22,002570.SZ,SELL,-2000,17.1728,28720.0,68.6912,658234.06,fixed
2014-09-22,300161.SZ,SELL,-2400,15.5094,29284.03,74.445,658798.09,fixed
2014-09-22,300224.SZ,SELL,-3900,7.6768,29939.49,59.879,659453.55,fixed
2014-09-22,300287.SZ,SELL,-5100,5.8674,29923.64,59.8473,659437.7,fixed
2014-09-22,600576.SH,SELL,-11200,7.9455,59606.31,177.979,689120.37,fixed
2014-09-22,600615.SH,SELL,-7000,10.2806,58747.83,143.928,688261.89,fixed
2014-09-22,600764.SH,BUY,4100,7.1651,29377.05,58.7541,600137.01,fixed
2014-09-22,002413.SZ,BUY,11300,2.6515,29962.09,59.9242,599551.97,fixed
2014-09-22,600685.SH,BUY,1700,16.7028,28394.81,56.7896,601119.25,fixed
2014-09-22,000158.SZ,BUY,7200,4.1233,29687.68,59.3754,599826.38,fixed
2014-09-22,000547.SZ,BUY,5100,6.4298,32792.02,65.584,596722.04,fixed
2014-09-22,002506.SZ,BUY,46800,0.64,29952.0,59.904,599562.06,fixed
2014-09-22,600061.SH,BUY,8000,3.7271,29816.62,59.6332,599697.44,fixed
2014-09-22,600629.SH,BUY,4800,6.1539,29538.69,59.0774,599975.37,fixed
2014-09-22,300345.SZ,BUY,6500,4.5732,29725.81,59.4516,599788.25,fixed
2014-09-22,002330.SZ,BUY,3900,7.6058,29662.81,59.3256,599851.25,fixed
2014-09-22,002239.SZ,BUY,16900,1.77,29912.45,59.8249,599601.61,fixed
2014-09-22,600379.SH,BUY,4700,6.3702,29940.1,59.8802,599573.97,fixed
2014-09-22,300315.SZ,BUY,3600,8.268,29764.89,59.5298,599749.17,fixed
2014-09-22,300133.SZ,BUY,2500,11.7572,29392.88,58.7858,600121.18,fixed
2014-09-22,000973.SZ,BUY,5200,5.7212,29750.12,59.5002,599763.94,fixed
2014-09-22,002647.SZ,BUY,18400,1.63,29991.53,59.9831,599522.53,fixed
2014-10-27,000158.SZ,SELL,-7200,6.0788,29687.68,87.535,725394.17,fixed
2014-10-27,000547.SZ,SELL,-5100,15.3007,32792.02,156.0676,728498.51,fixed
2014-10-27,000973.SZ,SELL,-10400,5.7212,59500.25,119.0005,755206.73,fixed
2014-10-27,002330.SZ,SELL,-3900,7.0343,29662.81,54.8676,725369.3,fixed
2014-10-27,002647.SZ,SELL,-55200,1.63,89974.6,179.9492,785681.09,fixed
2014-10-27,300133.SZ,SELL,-2500,12.5913,29392.88,62.9563,725099.37,fixed
2014-10-27,600061.SH,SELL,-8000,3.7271,29816.62,59.6332,725523.11,fixed
2014-10-27,600379.SH,SELL,-4700,6.3702,29940.1,59.8802,725646.58,fixed
2014-10-27,300348.SZ,BUY,6300,4.6958,29583.53,59.1671,666122.96,fixed
2014-10-27,002413.SZ,BUY,11300,2.6515,29962.09,59.9242,665744.4,fixed
2014-10-27,002239.SZ,BUY,16900,1.77,29912.45,59.8249,665794.03,fixed
2014-10-27,300268.SZ,BUY,5300,5.65,29945.0,59.89,665761.49,fixed
2014-10-27,300345.SZ,BUY,6500,4.5732,29725.81,59.4516,665980.67,fixed
2014-10-27,600295.SH,BUY,12100,2.4632,29804.53,59.6091,665901.96,fixed
2014-10-27,000557.SZ,BUY,4300,6.9342,29817.12,59.6342,665889.36,fixed
2014-10-27,300315.SZ,BUY,3600,8.268,29764.89,59.5298,665941.59,fixed
2014-10-27,000504.SZ,BUY,4200,7.13,29946.0,59.892,665760.49,fixed
2014-10-27,600711.SH,BUY,4100,7.1186,29186.15,58.3723,666520.34,fixed
2014-10-27,600547.SH,BUY,3700,8.0861,29918.47,59.8369,665788.02,fixed
2014-10-27,600421.SH,BUY,3800,7.89,29982.0,59.964,665724.49,fixed
2014-10-27,300399.SZ,BUY,1600,20.1519,32243.11,64.4862,663463.38,fixed
2014-11-24,002413.SZ,SELL,-22600,6.3049,59924.17,284.9795,913346.11,fixed
2014-11-24,300315.SZ,SELL,-10800,8.268,89294.68,178.5894,942716.62,fixed
2014-11-24,300345.SZ,SELL,-13000,4.9686,59451.63,129.1834,912873.56,fixed
2014-11-24,300348.SZ,SELL,-6300,6.8376,29583.53,86.1536,883005.46,fixed
2014-11-24,300399.SZ,SELL,-1600,22.5611,32243.11,72.1957,885665.04,fixed
2014-11-24,600295.SH,SELL,-12100,2.9409,29804.53,71.1688,883226.46,fixed
2014-11-24,600547.SH,SELL,-3700,8.0861,29918.47,59.8369,883340.4,fixed
2014-11-24,600629.SH,SELL,-9600,9.5471,59077.38,183.3039,912499.32,fixed
2014-11-24,600685.SH,SELL,-1700,25.9107,28394.81,88.0965,881816.75,fixed
2014-11-24,600711.SH,SELL,-4100,6.5029,29186.15,53.324,882608.08,fixed
2014-11-24,600764.SH,SELL,-4100,10.2135,29377.05,83.751,882798.99,fixed
2014-11-24,000520.SZ,BUY,11800,2.53,29854.0,59.708,823567.93,fixed
2014-11-24,600421.SH,BUY,3800,7.89,29982.0,59.964,823439.93,fixed
2014-11-24,300350.SZ,BUY,5400,5.4559,29461.98,58.924,823959.95,fixed
2014-11-24,000811.SZ,BUY,5400,5.5262,29841.61,59.6832,823580.33,fixed
2014-11-24,600571.SH,BUY,3500,8.4761,29666.28,59.3326,823755.65,fixed
2014-11-24,000987.SZ,BUY,10700,2.7907,29860.81,59.7216,823561.13,fixed
2014-11-24,603019.SH,BUY,5600,5.8614,32823.75,65.6475,820598.19,fixed
2014-11-24,002506.SZ,BUY,46800,0.64,29952.0,59.904,823469.93,fixed
2014-11-24,603088.SH,BUY,7600,4.2877,32586.17,65.1723,820835.77,fixed
2014-11-24,002647.SZ,BUY,18400,1.63,29991.53,59.9831,823430.4,fixed
2014-11-24,300043.SZ,BUY,4400,6.6949,29457.54,58.9151,823964.39,fixed
2014-11-24,300268.SZ,BUY,5300,5.65,29945.0,59.89,823476.93,fixed
2014-11-24,600369.SH,BUY,6700,4.4665,29925.43,59.8509,823496.5,fixed
2014-11-24,000557.SZ,BUY,4300,6.9342,29817.12,59.6342,823604.81,fixed
2014-11-24,002021.SZ,BUY,5300,5.5603,29469.81,58.9396,823952.12,fixed
2014-11-24,600610.SH,BUY,4800,6.19,29712.02,59.424,823709.92,fixed
2014-11-24,002239.SZ,BUY,16900,1.77,29912.45,59.8249,823509.48,fixed
2014-11-24,002469.SZ,BUY,4400,6.7874,29864.68,59.7294,823557.25,fixed
2014-11-24,603006.SH,BUY,1900,15.23,28937.02,57.874,824484.91,fixed
2014-11-24,600704.SH,BUY,8300,3.5885,29784.79,59.5696,823637.14,fixed
2014-11-24,300013.SZ,BUY,4900,6.1155,29966.03,59.9321,823455.91,fixed
2014-12-22,000504.SZ,SELL,-4200,7.13,29946.0,59.892,1033961.64,fixed
2014-12-22,000987.SZ,SELL,-10700,7.2313,29860.81,154.75,1033876.44,fixed
2014-12-22,002239.SZ,SELL,-50700,1.9463,89737.36,197.3507,1093753.0,fixed
2014-12-22,002469.SZ,SELL,-4400,6.642,29864.68,58.4496,1033880.32,fixed
2014-12-22,002506.SZ,SELL,-93600,0.64,59904.0,119.808,1063919.64,fixed
2014-12-22,300013.SZ,SELL,-4900,8.4582,29966.03,82.8899,1033981.66,fixed
2014-12-22,300043.SZ,SELL,-4400,6.6949,29457.54,58.9151,1033473.18,fixed
2014-12-22,300268.SZ,SELL,-10600,7.52,59890.0,159.424,1063905.64,fixed
2014-12-22,600369.SH,SELL,-6700,8.56,29925.43,114.7034,1033941.07,fixed
2014-12-22,600571.SH,SELL,-3500,12.6907,29666.28,88.8348,1033681.92,fixed
2014-12-22,600610.SH,SELL,-4800,8.2118,29712.02,78.8331,1033727.65,fixed
2014-12-22,603006.SH,SELL,-1900,12.6277,28937.02,47.9851,1032952.66,fixed
2014-12-22,603019.SH,SELL,-5600,11.0675,32823.75,123.956,1036839.39,fixed
2014-12-22,603088.SH,SELL,-7600,4.8543,32586.17,73.7851,1036601.8,fixed
2014-12-22,000520.SZ,BUY,11800,2.53,29854.0,59.708,974161.64,fixed
2014-12-22,002647.SZ,BUY,18400,1.63,29991.53,59.9831,974024.11,fixed
2014-12-22,600704.SH,BUY,8300,3.5885,29784.79,59.5696,974230.85,fixed
2014-12-22,601766.SH,BUY,6800,4.3934,29875.4,59.7508,974140.24,fixed
2014-12-22,600318.SH,BUY,5400,5.5349,29888.26,59.7765,974127.38,fixed
2014-12-22,000906.SZ,BUY,4200,7.1364,29973.05,59.9461,974042.59,fixed
2014-12-22,002322.SZ,BUY,3200,9.3427,29896.54,59.7931,974119.1,fixed
2014-12-22,002021.SZ,BUY,5300,5.5603,29469.81,58.9396,974545.83,fixed
2014-12-22,000544.SZ,BUY,4700,6.2566,29406.0,58.812,974609.64,fixed
2014-12-22,000811.SZ,BUY,5400,5.5262,29841.61,59.6832,974174.03,fixed
2014-12-22,002006.SZ,BUY,3500,8.4432,29551.32,59.1026,974464.32,fixed
2014-12-22,600421.SH,BUY,4100,7.1471,29303.27,58.6065,974712.36,fixed
2014-12-22,600649.SH,BUY,5000,5.9821,29910.45,59.8209,974105.19,fixed
2014-12-22,000967.SZ,BUY,6600,4.532,29911.27,59.8225,974104.37,fixed
2014-12-22,002178.SZ,BUY,4700,6.2936,29579.77,59.1595,974435.87,fixed
2014-12-22,300112.SZ,BUY,3100,9.3924,29116.42,58.2328,974899.22,fixed
2014-12-22,002298.SZ,BUY,3400,8.7217,29653.92,59.3078,974361.72,fixed
2014-12-22,601519.SH,BUY,5000,5.98,29900.0,59.8,974115.64,fixed
2014-12-22,300315.SZ,BUY,3600,8.268,29764.89,59.5298,974250.74,fixed
2014-12-22,300071.SZ,BUY,3100,9.4011,29143.51,58.287,974872.13,fixed
2014-12-22,300350.SZ,BUY,5400,5.4559,29461.98,58.924,974553.66,fixed
2014-12-22,000928.SZ,BUY,4800,6.4984,31192.45,62.3849,972823.19,fixed
2014-12-22,000557.SZ,BUY,4300,6.9342,29817.12,59.6342,974198.51,fixed
2015-01-21,000544.SZ,SELL,-4700,6.2566,29406.0,58.812,1069058.86,fixed
2015-01-21,000811.SZ,SELL,-10800,5.5446,59683.22,119.7643,1099336.07,fixed
2015-01-21,000928.SZ,SELL,-4800,5.5681,31192.45,53.4537,1070845.31,fixed
2015-01-21,002178.SZ,SELL,-4700,8.1833,29579.77,76.9235,1069232.63,fixed
2015-01-21,002322.SZ,SELL,-3200,9.1888,29896.54,58.8082,1069549.4,fixed
2015-01-21,300071.SZ,SELL,-3100,9.0163,29143.51,55.901,1068796.37,fixed
2015-01-21,300112.SZ,SELL,-3100,9.3924,29116.42,58.2328,1068769.27,fixed
2015-01-21,300350.SZ,SELL,-10800,5.4559,58923.96,117.8479,1098576.82,fixed
2015-01-21,600421.SH,SELL,-11700,7.3227,89267.27,171.3505,1128920.13,fixed
2015-01-21,601766.SH,SELL,-6800,10.5867,29875.4,143.9789,1069528.25,fixed
2015-01-21,600318.SH,BUY,5400,5.5349,29888.26,59.7765,1009764.6,fixed
2015-01-21,002647.SZ,BUY,18400,1.63,29991.53,59.9831,1009661.32,fixed
2015-01-21,000520.SZ,BUY,11800,2.53,29854.0,59.708,1009798.86,fixed
2015-01-21,600704.SH,BUY,8300,3.5885,29784.79,59.5696,1009868.06,fixed
2015-01-21,002298.SZ,BUY,3400,8.7217,29653.92,59.3078,1009998.94,fixed
2015-01-21,000938.SZ,BUY,2900,10.2711,29786.17,59.5723,1009866.68,fixed
2015-01-21,600649.SH,BUY,5000,5.9821,29910.45,59.8209,1009742.41,fixed
2015-01-21,002180.SZ,BUY,2200,13.1298,28885.47,57.7709,1010767.39,fixed
2015-01-21,002021.SZ,BUY,5300,5.5603,29469.81,58.9396,1010183.05,fixed
2015-01-21,300170.SZ,BUY,3400,8.572,29144.8,58.2896,1010508.06,fixed
2015-01-21,002331.SZ,BUY,2800,10.4773,29336.31,58.6726,1010316.55,fixed
2015-01-21,002006.SZ,BUY,3500,8.4432,29551.32,59.1026,1010101.54,fixed
2015-01-21,000506.SZ,BUY,4300,6.97,29971.0,59.942,1009681.86,fixed
2015-01-21,300315.SZ,BUY,3600,8.268,29764.89,59.5298,1009887.96,fixed
2015-01-21,002512.SZ,BUY,3700,8.0802,29896.87,59.7937,1009755.99,fixed
2015-01-21,601519.SH,BUY,5000,5.98,29900.0,59.8,1009752.86,fixed
2015-02-25,000506.SZ,SELL,-4300,5.7143,29971.0,49.1428,1408680.48,fixed
2015-02-25,000557.SZ,SELL,-12900,5.4132,89451.37,139.6599,1468160.85,fixed
