,importance,split
atr20,2541.236756056547,637
ret120,1076.6273843348026,428
ret20,874.8406732678413,253
ret20_60,867.3947769403458,299
ret60,1053.2158951461315,349
std20,1365.6914842426777,416
std60,3139.230636537075,682
volatility_regime,1357.0800305604935,429
asset_turnover,2445.1225143671036,826
current_asset_ratio,2240.66645231843,818
current_ratio,335.6252362728119,141
ey,2263.646060824394,686
financial_leverage,2574.8317643105984,882
oper_profit_growth,1591.851817548275,574
opm,2196.686520665884,834
pb,2127.047693938017,725
pe,1434.8831613659859,534
pe_ratio,304.86776584386826,95
profit_growth,1293.082785755396,506
profit_quality,1816.9159593582153,765
ps,2085.9645581245422,697
revenue_growth,1885.9317381381989,759
roa,1748.0147312879562,634
roe,1707.0874346792698,633
roe_growth,1621.6714733541012,678
