,importance,split
atr20,9270.861214637756,226
ret120,8488.051038742065,274
ret20,9880.254329442978,165
ret20_60,3122.2843078374863,176
ret60,7641.708547592163,179
std20,3421.1539409160614,193
std60,9607.44129037857,259
volatility_regime,9360.807643771172,236
asset_turnover,2782.0708627700806,157
current_asset_ratio,3594.522004842758,179
current_ratio,350.6274411678314,28
ey,4973.453840255737,184
financial_leverage,15589.90528678894,296
oper_profit_growth,2403.3084197044373,164
opm,8553.308894395828,136
pb,6981.962131261826,208
pe,1452.32366502285,113
pe_ratio,780.6185331344604,21
profit_growth,2545.3682601451874,129
profit_quality,2513.889865398407,170
ps,3482.6242468357086,139
revenue_growth,6696.971175432205,208
roa,2499.841933488846,151
roe,2587.6339589357376,149
roe_growth,2271.617671251297,180
