,importance,split
atr20,65.87376117706299,2
ret120,0.0,0
ret20,157.36339282989502,4
ret20_60,6.734230041503906,1
ret60,0.0,0
std20,52.272818088531494,3
std60,12.698750019073486,2
volatility_regime,66.99610090255737,4
asset_turnover,5.2192301750183105,1
current_asset_ratio,0.0,0
current_ratio,0.0,0
ey,5.218820095062256,1
financial_leverage,13.900490283966064,2
oper_profit_growth,18.37711000442505,3
opm,0.0,0
pb,17.400689601898193,2
pe,8.771320343017578,1
pe_ratio,0.0,0
profit_growth,0.0,0
profit_quality,5.641419887542725,1
ps,0.0,0
revenue_growth,40.29429912567139,2
roa,16.452499389648438,1
roe,0.0,0
roe_growth,0.0,0
