,importance,split
atr20,242.3671897649765,50
ret120,178.67803978919983,40
ret20,301.6406800746918,60
ret20_60,43.76591968536377,12
ret60,240.1527910232544,48
std20,401.9375079870224,62
std60,195.71299922466278,49
volatility_regime,201.53227186203003,48
asset_turnover,210.84950947761536,38
current_asset_ratio,238.77825832366943,49
current_ratio,16.070080280303955,4
ey,198.71320962905884,49
financial_leverage,157.15311980247498,44
oper_profit_growth,270.3181185722351,51
opm,234.20829820632935,51
pb,167.80558943748474,39
pe,114.98013019561768,26
pe_ratio,38.062259912490845,12
profit_growth,183.05061066150665,51
profit_quality,207.48254871368408,42
ps,121.0661997795105,26
revenue_growth,141.5932695865631,42
roa,102.21919047832489,27
roe,152.93357014656067,40
roe_growth,468.3916687965393,90
