,importance,split
atr20,18280.979825019836,134
ret120,7278.234622955322,129
ret20,2878.1253757476807,66
ret20_60,2678.6537141799927,43
ret60,8293.445719718933,71
std20,6907.454348564148,82
std60,16148.91948223114,117
volatility_regime,9469.329705238342,114
asset_turnover,6521.525446891785,78
current_asset_ratio,6400.467303276062,65
current_ratio,762.2942895889282,11
ey,7657.010342597961,84
financial_leverage,9034.132258415222,103
oper_profit_growth,2429.2022075653076,58
opm,2620.9383029937744,64
pb,5876.935230255127,84
pe,1626.6770935058594,35
pe_ratio,280.26169204711914,4
profit_growth,4982.41819858551,86
profit_quality,3148.3104724884033,71
ps,7693.681219100952,88
revenue_growth,7531.111516952515,94
roa,2464.908302307129,57
roe,3410.558901786804,86
roe_growth,4767.936093330383,96
