,importance,split
atr20,631.4709664881229,209
ret120,487.84199315309525,216
ret20,406.9377194046974,145
ret20_60,208.14394336938858,95
ret60,535.682316660881,183
std20,676.0525206029415,185
std60,669.082666516304,265
volatility_regime,438.6383240520954,166
asset_turnover,690.5719740688801,293
current_asset_ratio,586.3713673353195,284
current_ratio,122.66969120502472,46
ey,813.1835744380951,300
financial_leverage,751.3524322807789,325
oper_profit_growth,757.8075848519802,275
opm,738.2786889374256,324
pb,774.8559150695801,320
pe,487.9822224378586,225
pe_ratio,100.68330043554306,44
profit_growth,631.4396308064461,263
profit_quality,749.3092644810677,324
ps,715.9438739418983,264
revenue_growth,745.0303258001804,311
roa,552.3981432318687,248
roe,768.7307422757149,324
roe_growth,779.8505160808563,336
