,importance,split
atr20,5217.723464310169,287
ret120,1017.2152881026268,186
ret20,1029.702361881733,137
ret20_60,589.8892152309418,127
ret60,488.95338010787964,106
std20,1763.7595627903938,204
std60,3151.7814614772797,319
volatility_regime,1538.4403330683708,219
asset_turnover,1687.1258162856102,237
current_asset_ratio,1821.0110399127007,278
current_ratio,269.71295976638794,41
ey,1297.3428280353546,217
financial_leverage,1167.2599883079529,209
oper_profit_growth,1074.3101527690887,224
opm,1522.9420334100723,205
pb,1737.9864431619644,249
pe,1034.7580100297928,202
pe_ratio,210.35613071918488,37
profit_growth,983.5686050057411,186
profit_quality,1715.8089697360992,249
ps,1125.4826158881187,191
revenue_growth,1184.2047778367996,238
roa,1394.479553103447,223
roe,1525.6093938350677,211
roe_growth,1723.635838150978,228
