,importance,split
atr20,9614.819477081299,28
ret120,945.934700012207,23
ret20,693.388599395752,15
ret20_60,298.9965991973877,9
ret60,121.96890258789062,3
std20,494.8057041168213,9
std60,5004.889364242554,25
volatility_regime,434.64640045166016,12
asset_turnover,322.9344959259033,10
current_asset_ratio,283.0622959136963,8
current_ratio,31.243099212646484,1
ey,1375.1714935302734,19
financial_leverage,240.34080123901367,4
oper_profit_growth,331.3687000274658,7
opm,99.7893009185791,4
pb,636.3908061981201,14
pe,297.0346984863281,7
pe_ratio,82.33989906311035,2
profit_growth,381.01270294189453,10
profit_quality,378.8237075805664,7
ps,731.0419940948486,14
revenue_growth,1118.3752002716064,10
roa,152.2954978942871,4
roe,635.4239025115967,12
roe_growth,629.0333023071289,13
