,importance,split
atr20,16491.77059364319,68
ret120,6425.344413757324,83
ret20,2483.2539920806885,30
ret20_60,1002.2996025085449,17
ret60,6313.156908035278,42
std20,3055.1493797302246,35
std60,12539.020797729492,68
volatility_regime,6813.52180480957,49
asset_turnover,2831.4471111297607,27
current_asset_ratio,1886.7607975006104,22
current_ratio,0.0,0
ey,5222.077667236328,42
financial_leverage,10065.233917236328,49
oper_profit_growth,1043.8097972869873,20
opm,2081.123291015625,34
pb,6226.64986038208,41
pe,1323.3431930541992,20
pe_ratio,418.52000427246094,5
profit_growth,2619.765895843506,41
profit_quality,3399.784830093384,20
ps,3504.594476699829,52
revenue_growth,6102.479682922363,50
roa,703.632402420044,15
roe,3159.0833168029785,39
roe_growth,2398.058095932007,31
