,importance,split
atr20,2312.9911046028137,111
ret120,889.4508984088898,123
ret20,1136.9229083061218,95
ret20_60,339.3241808414459,47
ret60,808.206451177597,83
std20,651.0362889766693,95
std60,739.6954300403595,123
volatility_regime,626.3802146911621,104
asset_turnover,401.10276985168457,48
current_asset_ratio,301.6548309326172,45
current_ratio,69.82195973396301,12
ey,674.8906874656677,103
financial_leverage,350.2789194583893,66
oper_profit_growth,426.1231105327606,75
opm,503.86319041252136,55
pb,774.7531921863556,83
pe,639.1562571525574,101
pe_ratio,162.53111028671265,28
profit_growth,538.9892730712891,82
profit_quality,510.52382922172546,70
ps,553.4659526348114,71
revenue_growth,607.243846654892,74
roa,599.651930809021,88
roe,445.83822774887085,64
roe_growth,351.14622259140015,74
