,importance,split
atr20,505.2877354025841,114
ret120,331.82825911045074,100
ret20,327.99914956092834,93
ret20_60,184.32582116127014,51
ret60,477.4998922944069,115
std20,621.6835712194443,130
std60,566.7009180188179,163
volatility_regime,358.22665882110596,101
asset_turnover,594.4838707447052,167
current_asset_ratio,542.7158856987953,159
current_ratio,96.7212198972702,24
ey,550.3148015141487,153
financial_leverage,582.586120069027,186
oper_profit_growth,638.3650085926056,177
opm,476.1112570762634,162
pb,539.0560242533684,162
pe,419.10624927282333,122
pe_ratio,83.31751120090485,27
profit_growth,413.58693289756775,135
profit_quality,472.9816107749939,146
ps,433.82262164354324,129
revenue_growth,412.0146059393883,148
roa,378.9086985588074,134
roe,398.8116092681885,138
roe_growth,692.3245570659637,204
