,importance,split
atr20,2399.3293504714966,105
ret120,765.5524702072144,96
ret20,583.5952608585358,77
ret20_60,189.2977089881897,30
ret60,456.691100358963,44
std20,830.0186069011688,82
std60,1529.4949645996094,92
volatility_regime,1215.8914659023285,93
asset_turnover,1177.1934714317322,78
current_asset_ratio,664.1886794567108,71
current_ratio,101.67480039596558,13
ey,733.3101544380188,73
financial_leverage,1499.8998293876648,114
oper_profit_growth,804.9085326194763,99
opm,1277.6893563270569,77
pb,1464.2806611061096,94
pe,473.19011878967285,67
pe_ratio,82.74075865745544,14
profit_growth,580.4983420372009,62
profit_quality,576.2264077663422,70
ps,327.6622505187988,46
revenue_growth,491.0513610839844,60
roa,1051.7920820713043,70
roe,405.82630133628845,50
roe_growth,1071.0254204273224,93
