,importance,split
atr20,8537.998312711716,141
ret120,1705.3814072608948,90
ret20,1239.6710360050201,71
ret20_60,520.4034655094147,41
ret60,825.2414841651917,52
std20,2067.6567854881287,82
std60,7455.408672571182,158
volatility_regime,1474.176513671875,78
asset_turnover,1659.2435586452484,87
current_asset_ratio,1783.6960034370422,95
current_ratio,241.00774097442627,17
ey,2915.1077783107758,90
financial_leverage,1592.7325983047485,83
oper_profit_growth,1579.5342299938202,76
opm,1468.7077898979187,77
pb,2200.0394353866577,102
pe,1002.6694452762604,59
pe_ratio,308.1503601074219,13
profit_growth,1038.0364480018616,60
profit_quality,1457.5473182201385,71
ps,1865.0856351852417,103
revenue_growth,2248.9207787513733,78
roa,1593.3908202648163,74
roe,1542.2036690711975,84
roe_growth,2424.616725921631,98
