,importance,split
atr20,2479.79412651062,25
ret120,2252.924005508423,18
ret20,948.9405918121338,14
ret20_60,1024.1406135559082,13
ret60,928.0042991638184,13
std20,326.1309013366699,5
std60,3036.806276321411,9
volatility_regime,1737.175184249878,19
asset_turnover,65.75850105285645,3
current_asset_ratio,252.83629989624023,8
current_ratio,20.114099502563477,1
ey,1504.806287765503,11
financial_leverage,655.244312286377,15
oper_profit_growth,126.81800079345703,2
opm,71.41950225830078,1
pb,549.5903949737549,10
pe,296.2204990386963,5
pe_ratio,83.05280303955078,2
profit_growth,122.8488998413086,4
profit_quality,323.1703987121582,10
ps,463.9708061218262,8
revenue_growth,33.321800231933594,1
roa,232.7421054840088,7
roe,73.61789894104004,2
roe_growth,207.93420028686523,4
