,importance,split
atr20,246.37005019187927,44
ret120,185.46747088432312,44
ret20,252.06385970115662,51
ret20_60,59.45252990722656,18
ret60,234.4150402545929,47
std20,345.45248806476593,63
std60,227.43562006950378,55
volatility_regime,180.89537072181702,44
asset_turnover,210.60564196109772,45
current_asset_ratio,164.23025965690613,46
current_ratio,17.872299909591675,3
ey,211.13182032108307,60
financial_leverage,113.69117939472198,30
oper_profit_growth,253.3695696592331,55
opm,205.42194068431854,60
pb,134.3980302810669,39
pe,118.66611981391907,32
pe_ratio,14.736729741096497,4
profit_growth,228.39755976200104,56
profit_quality,134.63299918174744,32
ps,192.982279419899,42
revenue_growth,262.5207314491272,65
roa,104.26368987560272,31
roe,180.53189980983734,51
roe_growth,415.21910977363586,93
