,importance,split
atr20,11830.677392959595,42
ret120,866.8975944519043,22
ret20,693.2599983215332,14
ret20_60,392.76210021972656,10
ret60,660.5894927978516,11
std20,883.2815990447998,16
std60,7402.764387130737,41
volatility_regime,768.144998550415,16
asset_turnover,799.2087059020996,13
current_asset_ratio,562.5796966552734,13
current_ratio,137.03469848632812,2
ey,2230.2070636749268,28
financial_leverage,387.4262008666992,10
oper_profit_growth,234.72810173034668,6
opm,616.5699996948242,14
pb,912.3470935821533,23
pe,389.1240940093994,9
pe_ratio,229.32580184936523,4
profit_growth,1028.7334995269775,14
profit_quality,352.4971008300781,7
ps,1282.5967063903809,21
revenue_growth,1615.6197967529297,21
roa,374.12670135498047,11
roe,569.1693000793457,13
roe_growth,587.494197845459,9
