,importance,split
atr20,1827.5756945610046,72
ret120,641.804750919342,54
ret20,251.0114984512329,30
ret20_60,88.50489950180054,9
ret60,174.23768091201782,17
std20,653.4275107383728,25
std60,1772.3496255874634,47
volatility_regime,480.602858543396,39
asset_turnover,792.1415667533875,32
current_asset_ratio,651.1753010749817,35
current_ratio,103.079758644104,6
ey,301.0171871185303,21
financial_leverage,412.3716926574707,40
oper_profit_growth,563.1847562789917,26
opm,689.8086018562317,39
pb,728.9826099872589,46
pe,167.25847005844116,11
pe_ratio,67.85299682617188,1
profit_growth,292.79864978790283,26
profit_quality,680.6856150627136,38
ps,262.73745918273926,21
revenue_growth,260.67347717285156,14
roa,1048.4420700073242,33
roe,259.88449716567993,13
roe_growth,292.23318815231323,25
