,importance,split
atr20,15932.005270004272,113
ret120,6990.295543670654,94
ret20,3254.7964973449707,50
ret20_60,2385.3005142211914,37
ret60,3247.4553298950195,50
std20,3621.75341796875,61
std60,16586.57696723938,115
volatility_regime,9794.03226852417,64
asset_turnover,2790.9260902404785,51
current_asset_ratio,7715.559850692749,50
current_ratio,1499.3476791381836,6
ey,9385.107474327087,74
financial_leverage,13261.630582809448,78
oper_profit_growth,2934.821729660034,50
opm,1791.0731086730957,43
pb,7680.562255859375,83
pe,1009.5977020263672,24
pe_ratio,454.1653995513916,7
profit_growth,4220.687591552734,73
profit_quality,2259.9306030273438,53
ps,6009.87802696228,53
revenue_growth,6800.291205406189,75
roa,1958.843994140625,39
roe,3068.121513366699,66
roe_growth,4030.772508621216,61
