,importance,split
atr20,441.3663257062435,223
ret120,462.63481917977333,259
ret20,393.1866371035576,166
ret20_60,167.75955474376678,115
ret60,348.4462346434593,199
std20,541.871652007103,224
std60,521.4723672270775,281
volatility_regime,367.099517762661,191
asset_turnover,556.9447265565395,313
current_asset_ratio,479.3844896554947,307
current_ratio,80.54029417037964,57
ey,498.0939272046089,332
financial_leverage,485.4948434829712,322
oper_profit_growth,462.4439319372177,263
opm,578.3799679279327,349
pb,432.27940958738327,290
pe,320.9212996959686,216
pe_ratio,69.69569981098175,50
profit_growth,438.6789318919182,273
profit_quality,406.36508399248123,284
ps,378.6576116681099,247
revenue_growth,512.3975929021835,331
roa,387.7132659256458,268
roe,453.21571841835976,286
roe_growth,780.213806450367,394
