,importance,split
atr20,6239.912739992142,117
ret120,464.36010098457336,46
ret20,784.0981197357178,55
ret20_60,449.79575872421265,33
ret60,316.7235987186432,32
std20,1532.0332736968994,71
std60,3778.8045451641083,133
volatility_regime,1211.5809886455536,76
asset_turnover,1093.117283821106,64
current_asset_ratio,1396.6682708263397,78
current_ratio,240.26546096801758,17
ey,2045.2346804141998,66
financial_leverage,1267.0416231155396,65
oper_profit_growth,847.1233479976654,62
opm,1262.1985578536987,54
pb,1012.2255716323853,62
pe,522.9471273422241,33
pe_ratio,220.25531387329102,10
profit_growth,736.9089107513428,64
profit_quality,1294.477933883667,67
ps,949.058876991272,72
revenue_growth,1281.4536452293396,81
roa,1336.6940655708313,74
roe,924.7237768173218,61
roe_growth,1445.9073343276978,67
