,importance,split
atr20,1881.6013088226318,97
ret120,711.8167078495026,73
ret20,522.1596801280975,71
ret20_60,188.83531045913696,29
ret60,427.7927014827728,54
std20,1004.0054059028625,73
std60,1482.7199046611786,78
volatility_regime,1023.1635375022888,77
asset_turnover,794.7869122028351,62
current_asset_ratio,854.4604682922363,83
current_ratio,121.18583655357361,9
ey,636.8807489871979,63
financial_leverage,965.913941860199,104
oper_profit_growth,635.4880895614624,69
opm,779.9248821735382,68
pb,842.3907842636108,73
pe,396.69945073127747,35
pe_ratio,146.8681914806366,12
profit_growth,487.0623342990875,35
profit_quality,754.7361009120941,60
ps,417.5700612068176,55
revenue_growth,354.72166991233826,42
roa,1734.5336055755615,69
roe,430.409383058548,37
roe_growth,713.7015552520752,72
