,importance,split
atr20,16765.69441986084,77
ret120,5571.066120147705,81
ret20,1548.827585220337,23
ret20_60,1020.2460079193115,17
ret60,7079.647310256958,46
std20,6036.357219696045,31
std60,16575.77465057373,74
volatility_regime,5115.236862182617,45
asset_turnover,5138.235424041748,32
current_asset_ratio,2414.2336082458496,14
current_ratio,132.95090103149414,3
ey,5558.237251281738,54
financial_leverage,8004.92431640625,48
oper_profit_growth,1279.7728004455566,25
opm,1808.1213912963867,25
pb,5265.001598358154,56
pe,2225.3685932159424,22
pe_ratio,331.56020736694336,4
profit_growth,4917.170066833496,55
profit_quality,1987.4364109039307,23
ps,4922.204616546631,49
revenue_growth,4282.818420410156,44
roa,2638.519821166992,21
roe,4401.475704193115,45
roe_growth,3341.680778503418,46
