,importance,split
atr20,10455.55009818077,169
ret120,11202.000478982925,240
ret20,7229.386745452881,142
ret20_60,2504.1312217712402,109
ret60,6634.43217420578,135
std20,7233.333842039108,178
std60,9049.203637123108,217
volatility_regime,7036.058595895767,194
asset_turnover,4137.653624296188,115
current_asset_ratio,5318.960272550583,131
current_ratio,332.27716183662415,19
ey,4434.488728284836,114
financial_leverage,15174.213579177856,215
oper_profit_growth,1896.3229229450226,105
opm,3018.0909905433655,94
pb,6283.6384308338165,172
pe,1803.8899986743927,73
pe_ratio,405.31931161880493,20
profit_growth,2376.440540075302,106
profit_quality,3400.673136472702,116
ps,3988.2173953056335,105
revenue_growth,7187.556485652924,153
roa,2394.721331357956,109
roe,4783.830526590347,115
roe_growth,3572.4021270275116,154
