,importance,split
atr20,17117.603702545166,155
ret120,8445.232016563416,178
ret20,4206.074930667877,94
ret20_60,2460.707281112671,74
ret60,8197.442514419556,103
std20,4045.747631549835,99
std60,14385.072251796722,174
volatility_regime,8781.139917373657,153
asset_turnover,2301.129907608032,79
current_asset_ratio,3659.114950656891,83
current_ratio,401.9873628616333,14
ey,7049.326247215271,102
financial_leverage,10618.523280143738,143
oper_profit_growth,3876.0612149238586,99
opm,7445.5382623672485,87
pb,7210.430616855621,103
pe,2694.2111887931824,67
pe_ratio,602.6217441558838,9
profit_growth,3446.1444087028503,89
profit_quality,3248.493043899536,68
ps,6997.620525836945,112
revenue_growth,8379.130474090576,143
roa,3668.924771308899,74
roe,2888.5431685447693,82
roe_growth,3777.5294251441956,106
