,importance,split
atr20,1734.602722644806,87
ret120,593.3168613910675,46
ret20,694.2700650691986,50
ret20_60,109.6284704208374,6
ret60,649.3822956085205,33
std20,566.1634359359741,24
std60,1420.2692675590515,52
volatility_regime,594.7118401527405,35
asset_turnover,291.14156103134155,19
current_asset_ratio,520.306914806366,32
current_ratio,39.212480545043945,4
ey,219.47239208221436,22
financial_leverage,411.8975806236267,32
oper_profit_growth,621.4478135108948,39
opm,781.8092880249023,34
pb,1306.879991054535,48
pe,75.31989002227783,12
pe_ratio,9.149009704589844,1
profit_growth,344.7159457206726,29
profit_quality,451.51160955429077,30
ps,184.1444230079651,14
revenue_growth,374.08720684051514,17
roa,446.06518268585205,28
roe,362.36183977127075,18
roe_growth,704.3096096515656,38
