,importance,split
atr20,1473.430632352829,56
ret120,283.59055066108704,30
ret20,523.2007925510406,32
ret20_60,55.156370639801025,7
ret60,98.03214979171753,11
std20,169.2034502029419,20
std60,854.1976270675659,58
volatility_regime,262.0973792076111,25
asset_turnover,252.96576046943665,24
current_asset_ratio,102.48558950424194,10
current_ratio,7.3975300788879395,1
ey,338.5216393470764,24
financial_leverage,221.47983121871948,17
oper_profit_growth,999.2772192955017,14
opm,249.5732662677765,11
pb,560.8137228488922,39
pe,95.08604836463928,12
pe_ratio,44.14694929122925,8
profit_growth,111.02561902999878,17
profit_quality,324.1736636161804,23
ps,353.68788480758667,17
revenue_growth,334.10989141464233,16
roa,316.7205901145935,16
roe,284.9313187599182,14
roe_growth,233.29388189315796,8
