,importance,split
atr20,1993.6619275808334,302
ret120,1595.9156477451324,281
ret20,1673.7042232751846,157
ret20_60,620.8604354858398,137
ret60,1039.040858387947,196
std20,1155.4872007369995,200
std60,1437.1250706911087,315
volatility_regime,1127.9279512763023,218
asset_turnover,1331.7456183433533,250
current_asset_ratio,1221.0588756203651,283
current_ratio,206.0274978876114,34
ey,1471.8324586749077,299
financial_leverage,1254.7000111341476,293
oper_profit_growth,1598.3729193806648,239
opm,1343.883938908577,281
pb,1114.0507360100746,224
pe,1503.6383981108665,315
pe_ratio,240.99519884586334,46
profit_growth,889.9281052350998,200
profit_quality,1138.6353352069855,253
ps,1398.8039569854736,280
revenue_growth,1483.6837492585182,278
roa,1133.4830506443977,268
roe,1079.6070010662079,219
roe_growth,1075.4632313847542,252
