,importance,split
atr20,2146.9335787296295,108
ret120,587.3843307495117,47
ret20,485.56962060928345,51
ret20_60,155.67781925201416,10
ret60,819.913812160492,42
std20,736.4651174545288,35
std60,1661.2958104610443,69
volatility_regime,540.820307970047,41
asset_turnover,301.5196464061737,21
current_asset_ratio,513.9113645553589,34
current_ratio,140.66023302078247,5
ey,300.7616174221039,37
financial_leverage,664.1229884624481,56
oper_profit_growth,1019.456414937973,55
opm,1155.925419330597,46
pb,1335.484722852707,61
pe,335.50633335113525,27
pe_ratio,37.63266944885254,6
profit_growth,517.3470709323883,42
profit_quality,766.8924071788788,42
ps,396.17985701560974,23
revenue_growth,757.2208592891693,35
roa,821.4471814632416,45
roe,396.3559420108795,32
roe_growth,737.401364326477,50
