,importance,split
atr20,1699.4473604857922,328
ret120,644.3880078792572,194
ret20,420.62025132775307,124
ret20_60,307.5292876660824,134
ret60,902.9297973513603,224
std20,754.1503176391125,253
std60,1740.5680641531944,272
volatility_regime,626.2081450819969,195
asset_turnover,1137.4761372208595,347
current_asset_ratio,1168.2992734014988,380
current_ratio,158.53958454728127,54
ey,1154.5065965354443,331
financial_leverage,1418.5420241951942,367
oper_profit_growth,1056.7220608592033,310
opm,1166.7359894812107,403
pb,1051.469017982483,330
pe,1084.5563845038414,302
pe_ratio,203.42853838205338,50
profit_growth,623.3325392603874,225
profit_quality,999.1817343831062,331
ps,1216.5024346709251,311
revenue_growth,1040.9357890486717,348
roa,1113.553292453289,306
roe,643.0136579573154,287
roe_growth,957.1073999404907,314
