,importance,split
atr20,1882.4567453861237,105
ret120,290.0010097026825,56
ret20,707.9780032634735,69
ret20_60,195.97899651527405,16
ret60,214.21343970298767,36
std20,302.9878990650177,46
std60,874.5574169158936,112
volatility_regime,206.57006359100342,27
asset_turnover,478.63834738731384,45
current_asset_ratio,281.9583201408386,41
current_ratio,120.10108375549316,2
ey,532.9118001461029,56
financial_leverage,393.2432029247284,42
oper_profit_growth,871.603499174118,54
opm,201.3750307559967,34
pb,910.4726374149323,74
pe,177.7028501033783,34
pe_ratio,60.29357028007507,11
profit_growth,286.4578347206116,35
profit_quality,471.8655164241791,61
ps,298.92830061912537,43
revenue_growth,641.7987229824066,49
roa,250.21582889556885,43
roe,420.85726976394653,52
roe_growth,609.101912021637,57
