,importance,split
atr20,6444.01318693161,128
ret120,7345.734764099121,183
ret20,5404.268931865692,96
ret20_60,3261.9353585243225,76
ret60,4740.227544784546,109
std20,2418.4690551757812,85
std60,8447.31836938858,113
volatility_regime,7696.912153720856,127
asset_turnover,1517.167224407196,59
current_asset_ratio,6042.323720932007,56
current_ratio,274.8964214324951,9
ey,4422.980237007141,86
financial_leverage,16387.528567314148,167
oper_profit_growth,1969.6325941085815,70
opm,4344.432706832886,54
pb,4167.668828010559,103
pe,1259.8139781951904,46
pe_ratio,261.76340103149414,7
profit_growth,1650.1580829620361,48
profit_quality,3759.479735851288,78
ps,1698.331802368164,55
revenue_growth,4600.990231513977,88
roa,1435.1016087532043,63
roe,1414.1437253952026,51
roe_growth,1950.1547384262085,83
