,importance,split
atr20,4309.380483627319,124
ret120,565.480003118515,67
ret20,905.3364088535309,84
ret20_60,252.817449092865,32
ret60,356.34254002571106,38
std20,1332.1704461574554,81
std60,2422.168004989624,177
volatility_regime,958.896342754364,100
asset_turnover,1531.879934310913,76
current_asset_ratio,1411.312424659729,101
current_ratio,132.85670804977417,12
ey,633.6962704658508,64
financial_leverage,698.9766981601715,65
oper_profit_growth,485.4453389644623,72
opm,1424.9314007759094,82
pb,1136.8738403320312,97
pe,549.2180371284485,56
pe_ratio,82.51707935333252,11
profit_growth,474.9202675819397,57
profit_quality,1013.1133153438568,76
ps,766.2294921875,74
revenue_growth,953.1231498718262,83
roa,950.6566145420074,88
roe,760.3851587772369,75
roe_growth,886.5874695777893,68
