,importance,split
atr20,1100.5520365834236,356
ret120,660.692313939333,279
ret20,541.0009139180183,162
ret20_60,344.5629931092262,156
ret60,1020.1337516903877,262
std20,803.7329962551594,289
std60,1389.1025468111038,409
volatility_regime,667.1806135475636,247
asset_turnover,990.0791116654873,431
current_asset_ratio,1069.8026677668095,468
current_ratio,163.58962470293045,75
ey,1149.2870592474937,433
financial_leverage,1157.1477699875832,471
oper_profit_growth,1034.3554426133633,379
opm,1092.1752217411995,528
pb,1005.4905718266964,409
pe,762.9824226796627,371
pe_ratio,151.70429903268814,63
profit_growth,832.94749173522,365
profit_quality,1283.7909482717514,482
ps,860.150581151247,356
revenue_growth,984.7699792087078,465
roa,1045.6407553255558,446
roe,1041.9082819223404,474
roe_growth,1128.428532421589,474
