,importance,split
atr20,455.8015425801277,241
ret120,399.64181983470917,251
ret20,425.78198117017746,166
ret20_60,157.28185179829597,110
ret60,356.5798344016075,180
std20,501.15287733078003,201
std60,443.8710453212261,276
volatility_regime,297.26269578933716,171
asset_turnover,465.7830788195133,294
current_asset_ratio,446.1041130423546,259
current_ratio,60.22320094704628,44
ey,494.6264354586601,310
financial_leverage,332.8927491903305,239
oper_profit_growth,353.44504752755165,223
opm,425.55705764889717,292
pb,357.5371125936508,254
pe,330.1341492831707,210
pe_ratio,57.62946531176567,27
profit_growth,451.69924932718277,282
profit_quality,348.52398470044136,248
ps,345.70033898949623,240
revenue_growth,379.6290039718151,266
roa,398.4583429098129,272
roe,409.5061141848564,296
roe_growth,675.4837032854557,378
