,importance,split
atr20,16267.102981567383,93
ret120,3162.2132062911987,92
ret20,1805.6493005752563,41
ret20_60,784.3033466339111,27
ret60,1484.2731018066406,49
std20,2098.512493133545,51
std60,12584.461837768555,118
volatility_regime,3964.2656240463257,55
asset_turnover,1187.3706922531128,32
current_asset_ratio,10513.364543914795,78
current_ratio,724.6291084289551,11
ey,5057.129016876221,93
financial_leverage,14467.593740463257,60
oper_profit_growth,1252.1210088729858,44
opm,1409.7269926071167,40
pb,3329.524211883545,64
pe,1267.160901069641,37
pe_ratio,428.67310428619385,12
profit_growth,2765.437084197998,50
profit_quality,1276.0889616012573,44
ps,3391.205906867981,74
revenue_growth,5319.7294998168945,83
roa,2200.959909439087,52
roe,2856.6260108947754,61
roe_growth,4603.260144233704,79
