,importance,split
atr20,2115.7294664382935,26
ret120,87.90196990966797,6
ret20,256.83577013015747,15
ret20_60,73.31744909286499,5
ret60,45.501160621643066,3
std20,149.80087232589722,8
std60,999.4105687141418,29
volatility_regime,421.8840708732605,23
asset_turnover,179.50374126434326,11
current_asset_ratio,52.6757607460022,5
current_ratio,24.070199966430664,1
ey,157.82565832138062,6
financial_leverage,65.91830015182495,5
oper_profit_growth,214.81619930267334,17
opm,427.36279487609863,10
pb,436.86590099334717,18
pe,33.492401123046875,1
pe_ratio,30.226900100708008,1
profit_growth,172.01706743240356,13
profit_quality,144.45453023910522,10
ps,43.92783975601196,5
revenue_growth,47.03630065917969,2
roa,46.26551103591919,2
roe,182.62803411483765,10
roe_growth,155.56419849395752,8
