,importance,split
atr20,1765.1211817264557,97
ret120,572.837338924408,58
ret20,382.93607211112976,48
ret20_60,164.87964987754822,13
ret60,468.4684422016144,34
std20,789.0622801780701,43
std60,1686.9160959720612,93
volatility_regime,912.3841469287872,61
asset_turnover,511.21102499961853,50
current_asset_ratio,1158.919772386551,78
current_ratio,188.13778471946716,7
ey,647.0382344722748,61
financial_leverage,825.527508020401,85
oper_profit_growth,1149.0062544345856,98
opm,1177.8072533607483,62
pb,1008.4227013587952,69
pe,475.76418948173523,44
pe_ratio,98.81731915473938,12
profit_growth,510.96504068374634,48
profit_quality,701.4665312767029,58
ps,840.7243971824646,79
revenue_growth,919.595002412796,49
roa,1021.5849714279175,65
roe,354.5323894023895,34
roe_growth,669.5556192398071,64
