,importance,split
atr20,4410.91246342659,97
ret120,363.9337773323059,33
ret20,814.3451027870178,55
ret20_60,205.10946893692017,22
ret60,236.96331882476807,25
std20,878.6596508026123,38
std60,1873.5329494476318,107
volatility_regime,855.0426993370056,57
asset_turnover,966.5552792549133,52
current_asset_ratio,992.1739168167114,50
current_ratio,115.3891110420227,7
ey,411.8506498336792,38
financial_leverage,359.13404989242554,34
oper_profit_growth,427.5804123878479,42
opm,544.114511013031,39
pb,469.9610786437988,37
pe,328.46311140060425,21
pe_ratio,64.1939206123352,6
profit_growth,373.3933720588684,27
profit_quality,472.5678310394287,29
ps,310.5096592903137,31
revenue_growth,420.99748134613037,32
roa,461.57518100738525,36
roe,550.5212783813477,36
roe_growth,539.8547372817993,39
