,importance,split
atr20,14658.434383392334,55
ret120,4576.471477508545,55
ret20,2749.5469360351562,21
ret20_60,580.2145080566406,10
ret60,6914.5665645599365,38
std20,3866.43839263916,30
std60,12785.856021881104,47
volatility_regime,4286.390419006348,33
asset_turnover,1591.2138957977295,24
current_asset_ratio,2156.107807159424,9
current_ratio,0.0,0
ey,5886.025016784668,40
financial_leverage,5448.93586730957,24
oper_profit_growth,1021.8629035949707,13
opm,2225.3058757781982,12
pb,4252.4094161987305,31
pe,722.2610015869141,10
pe_ratio,116.34700012207031,1
profit_growth,2981.0397033691406,36
profit_quality,561.2001972198486,10
ps,3876.307720184326,29
revenue_growth,3175.7763137817383,36
roa,631.591007232666,11
roe,1577.941806793213,28
roe_growth,2158.9469051361084,27
