,importance,split
atr20,13713.766538619995,154
ret120,9064.545284986496,216
ret20,4805.478071212769,121
ret20_60,2241.176810979843,80
ret60,7810.647333621979,102
std20,3789.0928344726562,122
std60,10046.248143672943,166
volatility_regime,10424.30109834671,176
asset_turnover,3379.205931186676,89
current_asset_ratio,5630.291212558746,113
current_ratio,292.20069885253906,11
ey,5383.001266956329,120
financial_leverage,19885.060742139816,179
oper_profit_growth,1841.3538746833801,92
opm,7209.235512256622,109
pb,7622.549726486206,129
pe,1675.128659248352,58
pe_ratio,443.73645639419556,12
profit_growth,2558.8950176239014,81
profit_quality,2379.6417446136475,92
ps,3412.7727456092834,101
revenue_growth,7127.223913192749,136
roa,2580.8345935344696,89
roe,2987.3114075660706,89
roe_growth,2981.0235047340393,123
