,importance,split
atr20,1864.3181827068329,94
ret120,301.1080210208893,59
ret20,699.5982322692871,78
ret20_60,42.864020347595215,12
ret60,240.84924173355103,31
std20,479.5136103630066,59
std60,795.2051610946655,107
volatility_regime,124.52712845802307,19
asset_turnover,312.8371479511261,53
current_asset_ratio,158.85270929336548,31
current_ratio,6.388849973678589,2
ey,293.2471995353699,57
financial_leverage,331.81511902809143,47
oper_profit_growth,995.0649137496948,45
opm,131.11174964904785,32
pb,563.0073478221893,61
pe,304.4671890735626,58
pe_ratio,119.79826045036316,22
profit_growth,364.04469084739685,48
profit_quality,602.0118358135223,57
ps,237.4693901538849,37
revenue_growth,505.19225549697876,71
roa,450.8074460029602,50
roe,180.29570817947388,34
roe_growth,486.39689588546753,36
