,importance,split
atr20,2382.616369485855,172
ret120,1104.2362506389618,147
ret20,493.82967031002045,92
ret20_60,184.11415910720825,26
ret60,393.5568916797638,48
std20,913.2409868240356,83
std60,1854.012285709381,122
volatility_regime,1039.958159685135,95
asset_turnover,811.3633406162262,102
current_asset_ratio,1738.8892674446106,122
current_ratio,96.27484130859375,14
ey,678.8169736862183,90
financial_leverage,897.0297095775604,114
oper_profit_growth,861.9921951293945,107
opm,1260.79408121109,104
pb,804.454300403595,119
pe,665.4819121360779,90
pe_ratio,150.6432285308838,15
profit_growth,864.6843507289886,93
profit_quality,1007.0999658107758,98
ps,610.0098686218262,93
revenue_growth,764.8006645441055,82
roa,1726.4011671543121,110
roe,372.24833631515503,64
roe_growth,992.0918686389923,108
