,importance,split
atr20,6593.735958099365,16
ret120,516.3164958953857,8
ret20,132.43320083618164,2
ret20_60,119.19859886169434,3
ret60,531.628999710083,11
std20,661.913501739502,8
std60,4574.765609741211,22
volatility_regime,123.45909881591797,3
asset_turnover,323.5310935974121,5
current_asset_ratio,302.9910011291504,4
current_ratio,84.34559631347656,1
ey,1086.4165897369385,13
financial_leverage,103.52909851074219,2
oper_profit_growth,69.83879852294922,2
opm,49.982601165771484,1
pb,438.89948654174805,9
pe,253.35549926757812,6
pe_ratio,99.63600158691406,2
profit_growth,963.509895324707,7
profit_quality,0.0,0
ps,608.2509918212891,9
revenue_growth,593.1452026367188,7
roa,68.72060012817383,2
roe,162.75960159301758,3
roe_growth,182.19610214233398,4
