,importance,split
atr20,4240.5795109272,110
ret120,375.86100149154663,58
ret20,859.7977480888367,84
ret20_60,234.37346053123474,28
ret60,199.63263034820557,26
std20,389.8063614368439,41
std60,1848.8458514213562,153
volatility_regime,1107.8995146751404,89
asset_turnover,585.4474186897278,50
current_asset_ratio,713.9822990894318,61
current_ratio,60.513511657714844,3
ey,526.7005605697632,54
financial_leverage,277.71943283081055,43
oper_profit_growth,564.188191652298,83
opm,390.4942932128906,45
pb,967.0399413108826,65
pe,189.5974702835083,28
pe_ratio,53.90684962272644,9
profit_growth,490.58145117759705,55
profit_quality,302.72013092041016,38
ps,454.15683674812317,62
revenue_growth,470.2926127910614,41
roa,403.77719950675964,44
roe,629.3070504665375,53
roe_growth,668.3995795249939,57
