,importance,split
atr20,2586.124298095703,58
ret120,289.62301301956177,28
ret20,410.53772377967834,30
ret20_60,181.4092583656311,14
ret60,146.43255996704102,16
std20,275.2218086719513,19
std60,1713.4684193134308,64
volatility_regime,579.4819650650024,47
asset_turnover,498.1652088165283,27
current_asset_ratio,396.59669828414917,27
current_ratio,54.169189453125,3
ey,254.7762804031372,14
financial_leverage,351.896107673645,28
oper_profit_growth,323.3592984676361,25
opm,937.3532056808472,31
pb,535.3208885192871,33
pe,129.2734398841858,13
pe_ratio,26.79653024673462,3
profit_growth,212.15823030471802,22
profit_quality,362.33147859573364,27
ps,138.19641065597534,16
revenue_growth,210.22679090499878,18
roa,268.4586615562439,22
roe,327.5382733345032,17
roe_growth,401.54283905029297,28
